metric,source_file,median_overall,median_true,median_false,median_gap,n_true,n_false
bert_cos,weaviateNaive1AI,0.6584690809249878,0.7965174615383148,0.6456174254417419,0.15090003609657288,40,258
bert_cos,AgentOpenAI_300,0.7415458559989929,0.7960936725139618,0.6641967594623566,0.13189691305160522,180,118
bert_cos,weaviateCoT1_300,0.6404599249362946,0.7662696242332458,0.6366986632347107,0.12957096099853516,17,281
bert_cos,weaviateNaive1_300,0.6829400062561035,0.7953117489814758,0.6691088676452637,0.12620288133621216,41,257
bert_cos,weaviateCoT_3_300,0.6065701246261597,0.6096147000789642,0.6064321994781494,0.0031825006008148193,28,270
bert_cos,weaviateNaive3_300,0.6572098731994629,0.6572206020355225,0.6571991443634033,2.1457672119140625e-05,67,231
bleu,AgentOpenAI_300,0.32296734500878316,0.45261438127125597,0.24277024933800945,0.20984413193324652,180,118
bleu,weaviateNaive1_300,0.029313138704858098,0.20451020613638618,0.020924104386858062,0.1835861017495281,41,257
bleu,weaviateNaive1AI,0.017925618290037974,0.19695771626418496,0.01398180340625069,0.18297591285793427,40,258
bleu,weaviateCoT1_300,0.015188190723583435,0.15772320728457406,0.0137273160248634,0.14399589125971066,17,281
bleu,weaviateCoT_3_300,0.011410253776793281,0.025348910828523898,0.010701330927816994,0.014647579900706904,28,270
bleu,weaviateNaive3_300,0.016723316759278763,0.023247024951378734,0.015362849996515139,0.007884174954863595,67,231
jaccard,weaviateCoT1_300,0.1409353557240881,0.375,0.13636363636363635,0.23863636363636365,17,281
jaccard,AgentOpenAI_300,0.2857142857142857,0.39472517730496454,0.17534816422499547,0.21937701307996907,180,118
jaccard,weaviateNaive1AI,0.1457513768686074,0.343265306122449,0.1323642664613015,0.21090103966114748,40,258
jaccard,weaviateNaive1_300,0.17620967741935484,0.37209302325581395,0.16279069767441862,0.20930232558139533,41,257
jaccard,weaviateCoT_3_300,0.11263138818412469,0.13759296822177147,0.1111111111111111,0.026481857110660367,28,270
jaccard,weaviateNaive3_300,0.12658227848101267,0.12727272727272726,0.12658227848101267,0.000690448791714593,67,231
overlap,weaviateCoT1_300,0.4,0.8181818181818182,0.3888888888888889,0.42929292929292934,17,281
overlap,weaviateNaive1AI,0.4444444444444444,0.7752525252525253,0.4,0.3752525252525253,40,258
overlap,weaviateNaive1_300,0.47619047619047616,0.7857142857142857,0.44,0.3457142857142857,41,257
overlap,AgentOpenAI_300,0.6666666666666666,0.7735042735042735,0.430952380952381,0.34255189255189256,180,118
overlap,weaviateCoT_3_300,0.36363636363636365,0.4,0.36363636363636365,0.036363636363636376,28,270
overlap,weaviateNaive3_300,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0,67,231
rouge1_f,weaviateCoT1_300,0.23333332898333342,0.5373134287725553,0.22222221944444445,0.31509120932811086,17,281
rouge1_f,weaviateNaive1AI,0.2328251414198677,0.5135802419829143,0.21874999566406259,0.2948302463188517,40,258
rouge1_f,AgentOpenAI_300,0.4318181771758781,0.5515030896812703,0.28950584498222776,0.2619972446990425,180,118
rouge1_f,weaviateNaive1_300,0.29300812602847937,0.5283018818369528,0.2727272680991736,0.25557461373777923,41,257
rouge1_f,weaviateCoT_3_300,0.19047618637629135,0.22861808070682915,0.18918918506756766,0.039428895639261496,28,270
rouge1_f,weaviateNaive3_300,0.2195121903732898,0.21951219119571688,0.21951219019631185,9.994050309547475e-10,67,231
token_recall,weaviateCoT1_300,0.3495887191539365,0.8285714285714286,0.34,0.4885714285714286,17,281
token_recall,weaviateNaive1_300,0.45553359683794464,0.875,0.41379310344827586,0.46120689655172414,41,257
token_recall,AgentOpenAI_300,0.7564271588661833,0.8382737576285963,0.5094371418941692,0.32883661573442713,180,118
token_recall,weaviateNaive1AI,0.43050193050193053,0.7240143369175627,0.39619252873563215,0.3278218081819305,40,258
token_recall,weaviateCoT_3_300,0.4079290558163797,0.5166666666666666,0.4,0.11666666666666659,28,270
token_recall,weaviateNaive3_300,0.4666666666666667,0.5,0.4583333333333333,0.041666666666666685,67,231
