source_file,metric,median_overall,median_true,median_false,n_overall,n_true,n_false
MixedLiHua,token_recall,1.0,1.0,0.5,158,147,11
Total_358_Mixed,token_recall,0.8716540837336995,0.8923076923076924,0.553030303030303,358,308,50
MixedSynthetic,token_recall,0.7864741641337386,0.8405797101449275,0.5606060606060606,200,161,39
AgentOpenAI_300,token_recall,0.7564271588661833,0.8382737576285963,0.5094371418941692,298,180,118
MixedSynthetic,bert_cos,0.749114453792572,0.7703970670700073,0.636258602142334,200,161,39
AgentOpenAI_300,bert_cos,0.7415458559989929,0.7960936725139618,0.6641967594623566,298,180,118
Total_358_Mixed,bert_cos,0.7373674809932709,0.753484457731247,0.6349467933177948,358,308,50
MixedSynthetic,overlap,0.7182539682539683,0.7567567567567568,0.47058823529411764,200,161,39
MixedLiHua,bert_cos,0.7085409760475159,0.7185739278793335,0.4567071795463562,158,147,11
Total_358_Mixed,overlap,0.7,0.7368421052631579,0.4660633484162896,358,308,50
AgentOpenAI_300,overlap,0.6666666666666666,0.7735042735042735,0.430952380952381,298,180,118
MixedLiHua,overlap,0.6666666666666666,0.6666666666666666,0.16666666666666666,158,147,11
MixedSynthetic,rouge1_f,0.47999999550577777,0.5263157852527702,0.27397259785325584,200,161,39
Total_358_Mixed,rouge1_f,0.4540768463149117,0.4794366148834124,0.27212143160741686,358,308,50
AgentOpenAI_300,rouge1_f,0.4318181771758781,0.5515030896812703,0.28950584498222776,298,180,118
MixedLiHua,rouge1_f,0.388888885316358,0.39999999520000007,0.18181817884297521,158,147,11
MixedSynthetic,bleu,0.37232285940088367,0.4525255462559146,0.24767939992862334,200,161,39
MixedSynthetic,jaccard,0.3354166666666667,0.3717948717948718,0.1724137931034483,200,161,39
AgentOpenAI_300,bleu,0.32296734500878316,0.45261438127125597,0.24277024933800945,298,180,118
AgentOpenAI_300,jaccard,0.2857142857142857,0.39472517730496454,0.17534816422499547,298,180,118
Total_358_Mixed,bleu,0.2857142857142857,0.3220046082949309,0.24010068252539044,358,308,50
Total_358_Mixed,jaccard,0.2727272727272727,0.29520697167755994,0.17165178571428572,358,308,50
MixedLiHua,bleu,0.16666666666666669,0.17113903967753066,0.05555555555555554,158,147,11
MixedLiHua,jaccard,0.15707236842105263,0.15789473684210525,0.045454545454545456,158,147,11
